[A] using cached /Users/niazig/Desktop/linxliving/LinxLiving/.scratch/aica/aica-categories.json
[B] 620 to scrape (0 already done)
[B] 20/620 ok=20 err=0
[B] 40/620 ok=40 err=0
[B] 60/620 ok=60 err=0
[B] 80/620 ok=80 err=0
[B] 100/620 ok=100 err=0
[B] 120/620 ok=120 err=0
[B] 140/620 ok=140 err=0
[B] 160/620 ok=160 err=0
[B] 180/620 ok=180 err=0
[B] 200/620 ok=200 err=0
[B] 220/620 ok=220 err=0
[B] 240/620 ok=240 err=0
[B] 260/620 ok=260 err=0
[B] 280/620 ok=280 err=0
[B] 300/620 ok=300 err=0
[B] 320/620 ok=320 err=0
[B] 340/620 ok=340 err=0
[B] 360/620 ok=360 err=0
[B] 380/620 ok=380 err=0
[B] 400/620 ok=400 err=0
[B] 420/620 ok=420 err=0
[B] 440/620 ok=440 err=0
[B] 460/620 ok=460 err=0
[B] 480/620 ok=480 err=0
[B] 500/620 ok=500 err=0
[B] 520/620 ok=520 err=0
[B] 540/620 ok=540 err=0
[B] 560/620 ok=560 err=0
[B] 580/620 ok=580 err=0
[B] 600/620 ok=600 err=0
[B] 620/620 ok=620 err=0
[B] finished ok=620 err=0
