25 fetched (25 ok, 0 failed, 266 queued, 1 new siblings)
50 fetched (50 ok, 0 failed, 247 queued, 1 new siblings)
75 fetched (75 ok, 0 failed, 232 queued, 1 new siblings)
100 fetched (100 ok, 0 failed, 215 queued, 7 new siblings)
125 fetched (125 ok, 0 failed, 208 queued, 23 new siblings)
150 fetched (150 ok, 0 failed, 201 queued, 33 new siblings)
175 fetched (175 ok, 0 failed, 178 queued, 34 new siblings)
200 fetched (200 ok, 0 failed, 152 queued, 34 new siblings)
225 fetched (225 ok, 0 failed, 138 queued, 45 new siblings)
250 fetched (250 ok, 0 failed, 132 queued, 64 new siblings)
275 fetched (275 ok, 0 failed, 129 queued, 86 new siblings)
300 fetched (300 ok, 0 failed, 114 queued, 92 new siblings)
325 fetched (325 ok, 0 failed, 90 queued, 92 new siblings)
350 fetched (350 ok, 0 failed, 68 queued, 93 new siblings)
375 fetched (375 ok, 0 failed, 55 queued, 105 new siblings)
400 fetched (400 ok, 0 failed, 30 queued, 106 new siblings)
425 fetched (425 ok, 0 failed, 5 queued, 106 new siblings)
done: 433 fetched, 433 ok, 0 failed, 106 pages not in the original capture
