[2026-09-26T14:34:57.956Z] syncing 1 Topps Tiles products to Shopify as DRAFT
[2026-09-26T14:35:07.982Z] ✓ Metro Tiles — 12/12 variants, 51 images, 12 variant images
[2026-09-26T14:35:07.983Z] finished: 1 ok (0 with warnings), 0 failed
[2026-09-26T14:36:12.195Z] syncing 1 Topps Tiles products to Shopify as DRAFT
[2026-09-26T14:36:18.675Z] ✓ RUBI Drill Bit Diamond — 10/10 variants, 10 images, 10 variant images
[2026-09-26T14:36:18.676Z] finished: 1 ok (0 with warnings), 0 failed
[2026-09-26T14:37:45.031Z] syncing 843 Topps Tiles products to Shopify as DRAFT
[2026-09-26T14:37:54.464Z] ✓ Statements™ Amberley™ Orchid Tile — 1/1 variants, 7 images, 1 variant images
[2026-09-26T14:37:54.837Z] ✓ Antalya Crema Irregular Linear Mosaic Tile — 1/1 variants, 5 images, 1 variant images
[2026-09-26T14:38:04.427Z] ✓ Tekno™ — 2/2 variants, 12 images, 2 variant images
[2026-09-26T14:38:12.396Z] ✓ Berkeley Essence™ — 3/3 variants, 16 images, 3 variant images
[2026-09-26T14:38:13.249Z] ✓ Astrea™ — 7/7 variants, 27 images, 7 variant images
[2026-09-26T14:38:18.561Z] ✓ Statements™ Brixton Tile — 1/1 variants, 8 images, 1 variant images
[2026-09-26T14:38:22.519Z] ✓ Berkeley™ — 4/4 variants, 17 images, 4 variant images
[2026-09-26T14:38:32.889Z] ✓ Carrara — 10/10 variants, 26 images, 10 variant images
[2026-09-26T14:38:38.189Z] ✓ Catania™ — 5/5 variants, 22 images, 5 variant images
[2026-09-26T14:38:40.657Z] ✓ Complements™ — 6/6 variants, 15 images, 6 variant images
[2026-09-26T14:38:50.619Z] ✓ Devon — 2/2 variants, 11 images, 2 variant images
[2026-09-26T14:38:59.616Z] ✓ Grosvenor™ — 7/7 variants, 24 images, 7 variant images
[2026-09-26T14:39:00.586Z] ✓ Diamante — 10/10 variants, 44 images, 10 variant images
[2026-09-26T14:39:11.317Z] ✓ Hartley™ — 4/4 variants, 21 images, 4 variant images
[2026-09-26T14:39:19.698Z] ✓ Henley™ — 6/6 variants, 27 images, 6 variant images
[2026-09-26T14:39:20.541Z] ✓ Inara™ — 6/6 variants, 30 images, 6 variant images
[2026-09-26T14:39:26.327Z] ✓ Kamber™ Tile (30cm x 60cm) — 1/1 variants, 7 images, 1 variant images
[2026-09-26T14:39:27.178Z] ✓ Kanzi™ Natural Tile — 1/1 variants, 8 images, 1 variant images
[2026-09-26T14:39:30.031Z] ✓ Indas™ — 3/3 variants, 15 images, 3 variant images
[2026-09-26T14:39:47.492Z] ✓ Lampas™ — 8/8 variants, 38 images, 8 variant images
[2026-09-26T14:39:48.624Z] ✓ Linear Tiles — 12/12 variants, 40 images, 12 variant images
[2026-09-26T14:40:05.315Z] ✓ Mokara™ — 2/2 variants, 12 images, 2 variant images
[2026-09-26T14:40:08.021Z] ✓ Mora™ — 4/4 variants, 21 images, 4 variant images
[2026-09-26T14:40:14.844Z] ✓ Roma Blanco Tile (40cm x 25cm) — 1/1 variants, 6 images, 1 variant images
[2026-09-26T14:40:22.038Z] ✓ Ruzzini™ Tile — 1/1 variants, 9 images, 1 variant images
[2026-09-26T14:40:22.039Z] progress 25/843 (ok 25, warnings 0, failed 0)
[2026-09-26T14:40:22.212Z] ✓ Matrix® — 82/82 variants, 215 images, 82 variant images
[2026-09-26T14:40:39.047Z] ✓ Regal® — 30/30 variants, 108 images, 30 variant images
[2026-09-26T14:40:41.226Z] ✓ Shapes Mosaics — 4/4 variants, 19 images, 4 variant images
[2026-09-26T14:40:46.625Z] ✓ Simply Whites™ — 16/16 variants, 54 images, 16 variant images
[2026-09-26T14:40:58.886Z] ✓ Starluxe™ — 9/9 variants, 25 images, 9 variant images
[2026-09-26T14:41:04.121Z] ✓ Stratum™ — 3/3 variants, 11 images, 3 variant images
[2026-09-26T14:41:04.986Z] ✓ Staunton™ — 12/12 variants, 58 images, 12 variant images
[2026-09-26T14:41:11.843Z] ✓ Statements™ Checker™ Tile — 1/1 variants, 8 images, 1 variant images
[2026-09-26T14:41:23.338Z] ✓ Torrano™ — 10/10 variants, 51 images, 10 variant images
[2026-09-26T14:41:24.031Z] ✓ Victorian Mosaics — 5/5 variants, 22 images, 5 variant images
[2026-09-26T14:41:29.196Z] ✓ Amazone™ — 2/2 variants, 11 images, 2 variant images
[2026-09-26T14:41:43.708Z] ✓ Glass Splashbacks — 9/9 variants, 27 images, 9 variant images
[2026-09-26T14:41:47.217Z] ✓ Hemsworth™ — 4/4 variants, 18 images, 4 variant images
[2026-09-26T14:41:55.884Z] ✓ Everscape™ — 26/26 variants, 110 images, 26 variant images
[2026-09-26T14:41:58.068Z] ✓ BAL Protective Sealer — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:42:01.560Z] ✓ Azpects Easy Joint — 3/3 variants, 4 images, 3 variant images
[2026-09-26T14:42:04.022Z] ✓ BAL Max Flex White S1 Adhesive 20kg — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:42:08.194Z] ✓ BAL Single Part Fastflex Grey S2 Adhesive 12.5kg — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:42:19.814Z] ✓ BAL Turbo Set White 5kg — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:42:23.407Z] ✓ Excel Bond Slow Set Flexible Adhesive — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:42:25.148Z] ✓ BAL Micromax3 Grout — 41/41 variants, 78 images, 41 variant images
[2026-09-26T14:42:35.562Z] ✓ WEDI Bathboard Side Panel — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:42:39.918Z] ✓ Building Board - Wedi Fixings — 6/6 variants, 7 images, 6 variant images
[2026-09-26T14:42:40.646Z] ✓ Wedi Fundo Primo Sloping Board — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:42:50.919Z] ✓ WEDI Sanwell Wall Element with niche — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:42:50.919Z] progress 50/843 (ok 50, warnings 0, failed 0)
[2026-09-26T14:42:56.405Z] ✓ Regal® Door Bar — 4/4 variants, 6 images, 4 variant images
[2026-09-26T14:42:58.499Z] ✓ Foundry™ Trims — 8/8 variants, 12 images, 8 variant images
[2026-09-26T14:43:07.009Z] ✓ Regal™ Straight Edge Trim Ash — 6/6 variants, 8 images, 6 variant images
[2026-09-26T14:43:12.555Z] ✓ Straight Edge PVC Trim — 8/8 variants, 10 images, 8 variant images
[2026-09-26T14:43:14.349Z] ✓ ATG Maxiflex Work Glove — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:43:22.359Z] ✓ HardieBacker Backerboard 6mm — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:43:27.762Z] ✓ RUBI Diamond Blade CEV Wet - Accessories — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:43:29.624Z] ✓ RUBI Drill Bit 65mm Carbide - Drilling — 2/2 variants, 4 images, 2 variant images
[2026-09-26T14:43:35.817Z] ✓ RUBI Wide Chisel 60 — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:43:38.068Z] ✓ RUBI Grouter - Tools & Accessories — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:43:42.050Z] ✓ RUBI BL-Basic 60 — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:43:43.209Z] ✓ RUBI Paint Spatula SSteel PH — 5/5 variants, 5 images, 5 variant images
[2026-09-26T14:43:49.679Z] ✓ RUBI Tungsten Carbide Cutting Wheel Gold 10mm — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:43:56.940Z] ✓ RUBI Dry Cut Diamond Bit - Drilling — 11/11 variants, 18 images, 11 variant images
[2026-09-26T14:43:57.714Z] ✓ RUBI Rubiflex Tape Measure — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:44:05.381Z] ✓ Rubi Widia Tungsten Carbide Tile Scoring Wheel | Tiling Tools — 6/6 variants, 6 images, 6 variant images
[2026-09-26T14:44:11.757Z] ✓ Warmup Element Tempo Black — 3/3 variants, 6 images, 3 variant images
[2026-09-26T14:44:12.784Z] ✓ Warmup Insulating Board — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:44:20.308Z] ✓ Warmup Prowire 10 - 10.0m Under Tile Heating — 6/6 variants, 6 images, 6 variant images
[2026-09-26T14:44:26.795Z] ✓ RUBI Diamond Blade CPA Wet - Accessories — 5/5 variants, 5 images, 5 variant images
[2026-09-26T14:44:27.643Z] ✓ RUBI Fluid Mixer - Tools & Accessories — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:44:34.735Z] ✓ RUBI Hammer Black Rubber — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:44:40.360Z] ✓ BAL Silicone Sealant White 310ml — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:44:41.210Z] ✓ RUBI T Spacers — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:44:42.423Z] ✓ Galvanised Washers - Wedi Fixings — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:44:42.424Z] progress 75/843 (ok 75, warnings 0, failed 0)
[2026-09-26T14:44:59.221Z] ✓ Cemente™ — 6/6 variants, 19 images, 6 variant images
