row,product,columnE
2,"Karndean Art Select Gluedown Glacier Oak SM-RL21 Luxury Vinyl Tile Flooring","Not blurry - checked"
3,"Karndean Art Select Gluedown Bellota Oak SM-RL27 Luxury Vinyl Tile Flooring","Not blurry - checked"
4,"Karndean Art Select Gluedown Golden Artisan Oak SM-RL31 Luxury Vinyl Tile Flooring","Not blurry - checked"
5,"Karndean Art Select Gluedown Prairie Oak SM-RL20 Luxury Vinyl Tile Flooring","Not blurry - checked"
6,"Karndean Art Select Gluedown Mountain Oak RL22 Luxury Vinyl Tile Flooring","Not blurry - checked"
7,"Karndean Art Select Gluedown Glacier Oak RL21 Luxury Vinyl Tile Flooring","Not blurry - checked"
8,"Karndean Art Select Gluedown Pearl Onyx LM35 Luxury Vinyl Tile Flooring","Not blurry - checked"
9,"TORINO CEMENTO PVT702","Not blurry - checked"
10,"LVPEH857 SPELT HB 660 X 110 8MM 2.32M2","Not blurry - checked"
11,"Karndean Van Gogh Rigid Core Frosted Stone RKT2401 Luxury Vinyl Tile Flooring","Not blurry - checked"
12,"Karndean Van Gogh Gluedown Bronze Castello Marble VGT2416 Luxury Vinyl Tile Flooring","Not blurry - checked"
13,"Karndean Van Gogh Gluedown Urban Grey VGT2402 Luxury Vinyl Tile Flooring","Not blurry - checked"
14,"Karndean Van Gogh Gluedown Neutral Brushed Oak VGW126T Luxury Vinyl Tile Flooring","Not blurry - checked"
15,"Karndean Opus Gluedown Industria SP738 Luxury Vinyl Tile Flooring","Not blurry - checked"
16,"Karndean Opus Gluedown Chalk Grey SP724 Luxury Vinyl Tile Flooring","Not blurry - checked"
17,"Karndean Opus Gluedown Chalk Grey SP725 Luxury Vinyl Tile Flooring","Not blurry - checked"
18,"Karndean Opus Gluedown Concreto SP739 Luxury Vinyl Tile Flooring","Not blurry - checked"
19,"Karndean Knight Tile Gluedown White Painted Oak KP105 Luxury Vinyl Tile Flooring","Not blurry - checked"
20,"Decorfloor – Natural Collection – Stone Effect Milan – 1.44sq m","Not blurry - checked"
21,"Brooks Floor Blenheim Originals M1001 Engineered 6mm European Oak 1900mm x 190mm x 20mm Unfinished","Not blurry - checked"
22,"Brooks Floor Balmoral Originals E2021A Engineered 3mm European Oak 1900mm x 190mm x 14mm Satin Lacquered","Not blurry - checked"
23,"Brooks Floor Balmoral Originals E2017A Engineered 3mm European Oak 1900mm x 190mm x 14mm UV Oiled","Not blurry - checked"
24,"Brooks Floor Engineered BFCH113 4mm European Oak 450mm x 90mm x 14mm Satin Lacquered","Not blurry - checked"
25,"Brooks Floor Herringbone Engineered Eastbury H1019A 4mm European Oak 600mm x 120mm x 15mm UV Oiled","Not blurry - checked"
26,"Brooks Floor Balmoral Colours Raw M4002 3mm European Oak 1900mm x 190mm x 14mm Matt Lacquered","Not blurry - checked"
27,"Brooks Floor Engineered BFCH110 4mm European Oak 450mm x 90mm x 14mm UV Oiled","Not blurry - checked"
28,"Finsa Finfloor XL Honey Eyre Oak 8AJ 10mm Laminate Flooring","Not blurry - checked"
29,"Finsa Finfloor Durable 12 Twilight Oak 36X 12mm Laminate Flooring","Not blurry - checked"
30,"Finsa Finfloor Durable Style Sable Selena Oak 283B 8mm Laminate Flooring","Not blurry - checked"
31,"Finsa Finfloor Durable Style Artic Sovereign Oak 90H 8mm Laminate Flooring","Not blurry - checked"
32,"Finsa Finfloor Eco Original Lofoten Pine 48T 8mm Laminate Flooring","Not blurry - checked"
33,"Milk Oak Herringbone Engineered Wood Flooring 600mm x 150mm x 14mm White Lacquered","Not blurry - checked"
34,"Cargo Oak Herringbone Engineered Wood Flooring 600mm x 150mm x 14mm White Lacquered","Not blurry - checked"
35,"WHITE OILED OAK STY00304[FC49]","Blurry - subject only 394px of a 394x394 file"
36,"HOLLY OAK 001S","Not blurry - checked"
37,"HOLLY OAK 001S","Not blurry - checked"
38,"Natura Herringbone Pinot Oak Engineered Wood Flooring 15/4mm","Not blurry - checked"
39,"Brooks Floor Engineered BFCH113 4mm European Oak 450mm x 90mm x 14mm Satin Lacquered","Not blurry - checked"
40,"Brooks Floor Engineered BFCH112 4mm European Oak 450mm x 90mm x 14mm Brushed Brown Matt Lacquered","Not blurry - checked"
